fault_mode,metric,n,median_ms,iqr_ms,q1_ms,q3_ms,min_ms,max_ms,timing_basis,source_path,source_sha256
SILENT,command_to_detector_marker,30,383.0,196.25,288.75,485.0,125.0,578.0,host timestamp at injection command send to host timestamp at first predefined detector marker,research/icsec2026/runs/full_20260830_seed20260830_n30/summary.json,124554F98A93639B4C2C8C18A708DC14A1D5673823A4CD2F84DB0F563083E1CA
SILENT,restore_command_to_recovery_marker,30,297.0,230.75,144.25,375.0,78.0,516.0,host timestamp at NORMAL command send to host timestamp at PAYLOAD_RECOVERED marker,research/icsec2026/runs/full_20260830_seed20260830_n30/summary.json,124554F98A93639B4C2C8C18A708DC14A1D5673823A4CD2F84DB0F563083E1CA
BAD_CRC,command_to_detector_marker,30,359.5,293.0,171.25,464.25,78.0,531.0,host timestamp at injection command send to host timestamp at first predefined detector marker,research/icsec2026/runs/full_20260830_seed20260830_n30/summary.json,124554F98A93639B4C2C8C18A708DC14A1D5673823A4CD2F84DB0F563083E1CA
BAD_CRC,restore_command_to_recovery_marker,30,359.0,303.5,113.75,417.25,47.0,531.0,host timestamp at NORMAL command send to host timestamp at PAYLOAD_RECOVERED marker,research/icsec2026/runs/full_20260830_seed20260830_n30/summary.json,124554F98A93639B4C2C8C18A708DC14A1D5673823A4CD2F84DB0F563083E1CA
DELAYED,command_to_detector_marker,30,406.0,215.0,297.0,512.0,156.0,610.0,host timestamp at injection command send to host timestamp at first predefined detector marker,research/icsec2026/runs/full_20260830_seed20260830_n30/summary.json,124554F98A93639B4C2C8C18A708DC14A1D5673823A4CD2F84DB0F563083E1CA
DELAYED,restore_command_to_recovery_marker,30,296.5,238.25,187.25,425.5,94.0,531.0,host timestamp at NORMAL command send to host timestamp at PAYLOAD_RECOVERED marker,research/icsec2026/runs/full_20260830_seed20260830_n30/summary.json,124554F98A93639B4C2C8C18A708DC14A1D5673823A4CD2F84DB0F563083E1CA
