phase,duration_s,status_records,all_status_online,ok_first,ok_last,ok_strictly_increasing,timeout_delta,crc_delta,seq_delta,recovery_delta,prohibited_marker_count,valid,source_path,source_sha256
pre,65.0,13,true,1835,1955,true,0,0,0,0,0,true,research/icsec2026/runs/n0_pre_20260830_0205/validation.json,872BA8EFD5E8F3505C6DEC62AFCAAC59A892D1ED407DDE67E7256B631FBEAA12
post,65.0,13,true,3049,3169,true,0,0,0,0,0,true,research/icsec2026/runs/n0_post_20260830_0224/validation.json,B3EF1165183D2EEBB0049B11D006A602D2EE36AE5669BD8EA5E92BA091E095F1
