fault_mode,planned_trials,valid_trials,invalid_trials,activation_confirmed_trials,restoration_confirmed_trials,detection_successes,detection_trials,detection_observed_proportion,detection_exact_95_ci_lower,detection_exact_95_ci_upper,offline_observed_trials,recovery_successes,recovery_trials,recovery_observed_proportion,recovery_exact_95_ci_lower,recovery_exact_95_ci_upper,restart_marker_observed_trials,source_path,source_sha256
SILENT,30,30,0,30,30,30,30,1.0,0.884296692,1.0,30,30,30,1.0,0.884296692,1.0,0,research/icsec2026/runs/full_20260830_seed20260830_n30/summary.json,124554F98A93639B4C2C8C18A708DC14A1D5673823A4CD2F84DB0F563083E1CA
BAD_CRC,30,30,0,30,30,30,30,1.0,0.884296692,1.0,30,30,30,1.0,0.884296692,1.0,0,research/icsec2026/runs/full_20260830_seed20260830_n30/summary.json,124554F98A93639B4C2C8C18A708DC14A1D5673823A4CD2F84DB0F563083E1CA
DELAYED,30,30,0,30,30,30,30,1.0,0.884296692,1.0,30,30,30,1.0,0.884296692,1.0,0,research/icsec2026/runs/full_20260830_seed20260830_n30/summary.json,124554F98A93639B4C2C8C18A708DC14A1D5673823A4CD2F84DB0F563083E1CA
