run_id,fault_id,fault_mode,seed,activation_confirmed,activation_host_time,injection_host_time,detection_observed,detection_event,detection_host_time,detection_latency_ms,offline_observed,restore_command_host_time,restore_confirmation_host_time,recovery_observed,recovery_host_time,recovery_time_ms,controller_restart_marker_observed,outcome,invalid_reason
R015_P01,P01,SILENT,20260830,True,2026-08-29T19:12:22.013071+00:00,2026-08-29T19:12:21.966755+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:12:22.421180+00:00,453.0,True,2026-08-29T19:12:26.016191+00:00,2026-08-29T19:12:26.034705+00:00,True,2026-08-29T19:12:26.316631+00:00,297.0,False,DETECTED_RECOVERY_OBSERVED,
R016_P03,P03,DELAYED,20260830,True,2026-08-29T19:12:30.869620+00:00,2026-08-29T19:12:30.819443+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:12:31.415223+00:00,609.0,True,2026-08-29T19:12:34.872281+00:00,2026-08-29T19:12:35.058762+00:00,True,2026-08-29T19:12:35.326844+00:00,453.0,False,DETECTED_RECOVERY_OBSERVED,
R017_P03,P03,DELAYED,20260830,True,2026-08-29T19:12:40.052937+00:00,2026-08-29T19:12:40.022787+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:12:40.365642+00:00,344.0,True,2026-08-29T19:12:44.056045+00:00,2026-08-29T19:12:44.120045+00:00,True,2026-08-29T19:12:44.292442+00:00,234.0,False,DETECTED_RECOVERY_OBSERVED,
R018_P01,P01,SILENT,20260830,True,2026-08-29T19:12:49.172261+00:00,2026-08-29T19:12:49.119258+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:12:49.345002+00:00,219.0,True,2026-08-29T19:12:53.176001+00:00,2026-08-29T19:12:53.239944+00:00,True,2026-08-29T19:12:53.285826+00:00,109.0,False,DETECTED_RECOVERY_OBSERVED,
R019_P02,P02,BAD_CRC,20260830,True,2026-08-29T19:12:58.873118+00:00,2026-08-29T19:12:58.814608+00:00,True,[OBC] PAYLOAD_REJECT reason=CRC,2026-08-29T19:12:59.280300+00:00,468.0,True,2026-08-29T19:13:02.876394+00:00,2026-08-29T19:13:02.934489+00:00,True,2026-08-29T19:13:03.265438+00:00,391.0,False,DETECTED_RECOVERY_OBSERVED,
R020_P02,P02,BAD_CRC,20260830,True,2026-08-29T19:13:08.132888+00:00,2026-08-29T19:13:08.113989+00:00,True,[OBC] PAYLOAD_REJECT reason=CRC,2026-08-29T19:13:08.241746+00:00,125.0,True,2026-08-29T19:13:12.135840+00:00,2026-08-29T19:13:12.147838+00:00,True,2026-08-29T19:13:12.240814+00:00,94.0,False,DETECTED_RECOVERY_OBSERVED,
R021_P03,P03,DELAYED,20260830,True,2026-08-29T19:13:17.033201+00:00,2026-08-29T19:13:17.009187+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:13:17.286809+00:00,265.0,True,2026-08-29T19:13:21.036847+00:00,2026-08-29T19:13:21.050314+00:00,True,2026-08-29T19:13:21.176207+00:00,141.0,False,DETECTED_RECOVERY_OBSERVED,
R022_P02,P02,BAD_CRC,20260830,True,2026-08-29T19:13:26.189554+00:00,2026-08-29T19:13:26.182556+00:00,True,[OBC] PAYLOAD_REJECT reason=CRC,2026-08-29T19:13:26.719239+00:00,531.0,True,2026-08-29T19:13:30.193465+00:00,2026-08-29T19:13:30.252826+00:00,True,2026-08-29T19:13:30.663269+00:00,468.0,False,DETECTED_RECOVERY_OBSERVED,
R023_P03,P03,DELAYED,20260830,True,2026-08-29T19:13:35.374579+00:00,2026-08-29T19:13:35.351577+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:13:35.749300+00:00,390.0,True,2026-08-29T19:13:39.378325+00:00,2026-08-29T19:13:39.430976+00:00,True,2026-08-29T19:13:39.665822+00:00,297.0,False,DETECTED_RECOVERY_OBSERVED,
R024_P03,P03,DELAYED,20260830,True,2026-08-29T19:13:44.283129+00:00,2026-08-29T19:13:44.225128+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:13:44.769972+00:00,547.0,True,2026-08-29T19:13:48.287311+00:00,2026-08-29T19:13:48.395157+00:00,True,2026-08-29T19:13:48.618178+00:00,344.0,False,DETECTED_RECOVERY_OBSERVED,
R025_P02,P02,BAD_CRC,20260830,True,2026-08-29T19:13:54.147917+00:00,2026-08-29T19:13:54.109917+00:00,True,[OBC] PAYLOAD_REJECT reason=CRC,2026-08-29T19:13:54.622994+00:00,515.0,True,2026-08-29T19:13:58.152008+00:00,2026-08-29T19:13:58.197516+00:00,True,2026-08-29T19:13:58.593563+00:00,438.0,False,DETECTED_RECOVERY_OBSERVED,
R026_P01,P01,SILENT,20260830,True,2026-08-29T19:14:03.202430+00:00,2026-08-29T19:14:03.165921+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:14:03.706996+00:00,531.0,True,2026-08-29T19:14:07.205896+00:00,2026-08-29T19:14:07.250895+00:00,True,2026-08-29T19:14:07.626865+00:00,422.0,False,DETECTED_RECOVERY_OBSERVED,
R027_P02,P02,BAD_CRC,20260830,True,2026-08-29T19:14:12.689880+00:00,2026-08-29T19:14:12.626875+00:00,True,[OBC] PAYLOAD_REJECT reason=CRC,2026-08-29T19:14:13.065178+00:00,438.0,True,2026-08-29T19:14:16.693743+00:00,2026-08-29T19:14:16.732252+00:00,True,2026-08-29T19:14:17.095619+00:00,406.0,False,DETECTED_RECOVERY_OBSERVED,
R028_P01,P01,SILENT,20260830,True,2026-08-29T19:14:22.111705+00:00,2026-08-29T19:14:22.077196+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:14:22.647271+00:00,563.0,True,2026-08-29T19:14:26.116065+00:00,2026-08-29T19:14:26.159064+00:00,True,2026-08-29T19:14:26.583108+00:00,468.0,False,DETECTED_RECOVERY_OBSERVED,
R029_P03,P03,DELAYED,20260830,True,2026-08-29T19:14:31.856759+00:00,2026-08-29T19:14:31.823763+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:14:32.122294+00:00,297.0,True,2026-08-29T19:14:35.861188+00:00,2026-08-29T19:14:35.904692+00:00,True,2026-08-29T19:14:36.047210+00:00,187.0,False,DETECTED_RECOVERY_OBSERVED,
R030_P02,P02,BAD_CRC,20260830,True,2026-08-29T19:14:41.340472+00:00,2026-08-29T19:14:41.286961+00:00,True,[OBC] PAYLOAD_REJECT reason=CRC,2026-08-29T19:14:41.547496+00:00,266.0,True,2026-08-29T19:14:45.345706+00:00,2026-08-29T19:14:45.390711+00:00,True,2026-08-29T19:14:45.531342+00:00,187.0,False,DETECTED_RECOVERY_OBSERVED,
R031_P01,P01,SILENT,20260830,True,2026-08-29T19:14:50.325248+00:00,2026-08-29T19:14:50.264737+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:14:50.578277+00:00,312.0,True,2026-08-29T19:14:54.329027+00:00,2026-08-29T19:14:54.369027+00:00,True,2026-08-29T19:14:54.480081+00:00,157.0,False,DETECTED_RECOVERY_OBSERVED,
R032_P01,P01,SILENT,20260830,True,2026-08-29T19:14:59.310093+00:00,2026-08-29T19:14:59.260586+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:14:59.547121+00:00,281.0,True,2026-08-29T19:15:03.314713+00:00,2026-08-29T19:15:03.358711+00:00,True,2026-08-29T19:15:03.453936+00:00,140.0,False,DETECTED_RECOVERY_OBSERVED,
