physical_pair,controller_board,controller_stlink,payload_board,payload_stlink,campaign_id,campaign_source_commit,inventory_sha256,planned,attempted,valid,invalid,nc_clean_rows,d090_accepted_without_fault_rows,d100_fault_restore_recovery_pattern_rows,d110_fault_restore_recovery_pattern_rows,d100_accepted_mode3_markers,d110_accepted_mode3_markers,boundary_mode0_rows,final_partial_record_outside_boundaries
Pair-1,F411-A,066BFF495051727187053106,F411-B,066EFF495051727187053015,F411_P1_CAMPAIGN_20260901_B3,623c783f489a8e9f5de58b9bf66b863f1e33cb54,797F908BCFC5EB5450302360501016DCB23188996C15194D9CF91C8BE619C2BC,12,12,12,0,3,3,3,3,0,0,4,True
Pair-2,F411-C,0669FF495051727187053226,F411-D,0663FF495051727187066042,F411_P2_CAMPAIGN_20260901_B3,eb3c15a2396eb80e327ebf8cd142f1f4298430e2,481F56C98647D037CFAA5698BDEF61C0D918D42954A646E36C7479EA8203588E,12,12,12,0,3,3,3,3,0,0,3,True
