run_id,fault_id,fault_mode,seed,activation_confirmed,activation_host_time,injection_host_time,detection_observed,detection_event,detection_host_time,detection_latency_ms,offline_observed,restore_command_host_time,restore_confirmation_host_time,recovery_observed,recovery_host_time,recovery_time_ms,controller_restart_marker_observed,outcome,invalid_reason
R001_P01,P01,SILENT,431474,True,2026-08-29T18:55:00.742152+00:00,2026-08-29T18:55:00.677571+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T18:55:01.254606+00:00,578.0,True,2026-08-29T18:55:04.744160+00:00,2026-08-29T18:55:04.800166+00:00,True,2026-08-29T18:55:05.192149+00:00,438.0,False,DETECTED_RECOVERY_OBSERVED,
R002_P03,P03,DELAYED,431474,True,2026-08-29T18:55:10.424060+00:00,2026-08-29T18:55:10.408549+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T18:55:10.742542+00:00,344.0,True,2026-08-29T18:55:14.425278+00:00,2026-08-29T18:55:14.484393+00:00,True,2026-08-29T18:55:14.655762+00:00,234.0,False,DETECTED_RECOVERY_OBSERVED,
R003_P02,P02,BAD_CRC,431474,True,2026-08-29T18:55:19.606840+00:00,2026-08-29T18:55:19.555770+00:00,True,[OBC] PAYLOAD_REJECT reason=CRC,2026-08-29T18:55:19.638312+00:00,78.0,True,2026-08-29T18:55:23.610699+00:00,2026-08-29T18:55:23.630707+00:00,True,2026-08-29T18:55:24.141891+00:00,531.0,False,DETECTED_RECOVERY_OBSERVED,
