"inventory","path","expected_size","actual_size","expected_sha256","actual_sha256","issue"
"research\icsec2026\provenance\20260830_023830\PROVENANCE_SHA256SUMS.csv","research/icsec2026/provenance/20260830_023830/source_state/untracked_source_copies/research/icsec2026/NEXT_TASK.md","2064","2093","66D35A9EBE7C87D6CF2B6DC875DEE0C6D6AC5F628324F0E3F743A792BD17F6A9","988DF80FB7C94C4AA7C96D7ED15EFA3A22BC500AC013F5075D69C7E6D1DC6FE3","SIZE_AND_HASH"
"research\icsec2026\provenance\20260830_023830\PROVENANCE_SHA256SUMS.csv","research/icsec2026/provenance/20260830_023830/source_state/untracked_source_copies/research/icsec2026/SESSION_STATE.md","22301","22559","390B5114EDB0EF4C842E758B6D91126C1283562BE99BDD9A74283FFD58C7896D","0E8DC22BA275E3C7ED6E976A46123D297E5266B7E2A3396F60ED989E5CE5BEE0","SIZE_AND_HASH"
"research\icsec2026\provenance\20260830_023830\PROVENANCE_SHA256SUMS.csv","research/icsec2026/provenance/20260830_023830/source_state/untracked_source_copies/research/icsec2026/injector/create_sha256_inventory.py","2618","2695","54244D7A1231C4E687FB310B934960A65226A3A6D952EBFEDF992F30707A0211","4021F9CAD57BADE48CBCC18215E0F5FDB7EDD9BB3303F04498C8B15C0B57E28A","SIZE_AND_HASH"
"research\icsec2026\provenance\20260830_023830\PROVENANCE_SHA256SUMS.csv","research/icsec2026/provenance/20260830_023830/source_state/untracked_source_copies/research/icsec2026/injector/requirements.txt","17","18","95FDAD543F34E4A191CD17219E1A73B4AB4B0B5AD9806A25C3B49E7B48AB8CA0","1F9CD0F05C4F38521C72B1465FDBCDA66D71BDA860E3ADDE9A1E2C214E6A17FF","SIZE_AND_HASH"
"research\icsec2026\provenance\20260830_023830\PROVENANCE_SHA256SUMS.csv","research/icsec2026/provenance/20260830_023830/source_state/untracked_source_copies/research/icsec2026/injector/run_n0_control.py","8517","8749","1BE5BD7E398AC5C5487044407307E18593F353064FA8EB20900CB78AFF706200","BDB98E8ADC8C06B8508EFCCB0FD6EC7C5AC47772F392130C6AF39705CE65B14B","SIZE_AND_HASH"
"research\icsec2026\provenance\20260830_023830\PROVENANCE_SHA256SUMS.csv","research/icsec2026/provenance/20260830_023830/source_state/untracked_source_copies/research/icsec2026/injector/run_payload_campaign.py","21351","21947","106AE0872BB9CEDDFD439AAB9A70C94E35F34F26EF5305BE18C26E745C5E3B2C","168EECF43FAF0986D286555BAB3CA12886B2BBB0E6F8B6D21C86D35E818C02FB","SIZE_AND_HASH"
"research\icsec2026\provenance\20260830_023830\PROVENANCE_SHA256SUMS.csv","research/icsec2026/provenance/20260830_023830/source_state/untracked_source_copies/research/icsec2026/injector/summarize_payload_campaign.py","14011","14350","09D760B82716AB74991E7B35323E120A421423AD3B160DBE4DC9FA1B043EEDC8","1DB0537245AA06BE8CE2FA3E44A99C648F20D70B925050DB5CF938748FD1D4F6","SIZE_AND_HASH"
"research\icsec2026\provenance\20260830_023830\PROVENANCE_SHA256SUMS.csv","research/icsec2026/provenance/20260830_023830/source_state/untracked_source_copies/research/icsec2026/injector/test_campaign_summary.py","1558","1602","BC2B422F0810601665828365B4BEF1BDB4AE04FC672861045FA283F3FC8787BA","285BC9E6A6E70A7A26A719369BE37583EA2A8379A7B72AE69515D76E89323778","SIZE_AND_HASH"
"research\icsec2026\provenance\20260830_023830\PROVENANCE_SHA256SUMS.csv","research/icsec2026/provenance/20260830_023830/source_state/untracked_source_copies/research/icsec2026/injector/test_n0_control.py","2181","2240","5C3CACBE41ED737722E23C4E098C2DB1B00F0D3677917058C89E31BBF337369B","340DA27DB943B19647ADF0E714C241C624080E39C7D669A5FC9C23891CB8AD98","SIZE_AND_HASH"
"research\icsec2026\provenance\20260830_023830\PROVENANCE_SHA256SUMS.csv","research/icsec2026/provenance/20260830_023830/source_state/untracked_source_copies/research/icsec2026/injector/test_run_payload_campaign.py","2730","2796","57034EC706B4291FDD4481E4A4183E449488C3390F6D554F88668031E3C9D689","B71F69382B0BD9DE0303B3DBFE9448EECD19997D983DC3B03AD8963394D94186","SIZE_AND_HASH"
"research\icsec2026\provenance\20260830_023830\PROVENANCE_SHA256SUMS.csv","research/icsec2026/provenance/20260830_023830/source_state/untracked_source_copies/research/icsec2026/injector/test_sha256_inventory.py","1430","1470","0EEE8B8DE3E27F2553FC8A55157FFE64959B1E73B0520E46753802B15362A4A0","CD752046C8F51EEE13880C786184BE86BAA1E14095C205D8DA8A7775BEB4EBFB","SIZE_AND_HASH"
"research\icsec2026\provenance\20260830_023830\PROVENANCE_SHA256SUMS.csv","research/icsec2026/provenance/20260830_023830/toolchain/package_metadata/02_framework-stm32cubeg4_package.json","543","560","D2956328E7F071EFCD4EE3646B3795B42AFABC94674558C5D25AD61408E10AC1","A8E23E39AFC410F06650A897183ED6A7639A55176AEBED1623AB7FDF9EC1F0AB","SIZE_AND_HASH"
"research\icsec2026\provenance\20260830_023830\PROVENANCE_SHA256SUMS.csv","research/icsec2026/provenance/20260830_023830/toolchain/package_metadata/04_tool-openocd_package.json","555","575","C5E67FA399DFEF4D2646800C923C2B6F8BA272D3DA65D441EA7FE24C3D00EBC0","4AC916D105AE65F6D6C5FD234D87045CC177D039B0EF47844FF25DB188F17501","SIZE_AND_HASH"
