"inventory","path","expected_size","actual_size","expected_sha256","actual_sha256","issue"
"research\icsec2026\runs\full_20260830_seed20260830_n30\SHA256SUMS.csv","research/icsec2026/runs/full_20260830_seed20260830_n30/DATASET_README.md","4368","4426","03F9865F836D53725A48040AF56211AF8BD66FBDE8198FF6273229D66651638B","CAC2D20356893F8636C0C83B78EDDE651C3940991AD9E93AC33DC3D589A1E064","SIZE_AND_HASH"
"research\icsec2026\provenance\20260830_023830\PROVENANCE_SHA256SUMS.csv","research/icsec2026/provenance/20260830_023830/PROVENANCE.md","8247","8374","5D504CAE1C4B5FD19BEA32D41A3C40A48DF2AB95489602D2303DE801D42AA43E","F74DACC9AB4390DD5C9518EDE5AF031E0FF9C48A30D8ACB1BA641D6153CDEB45","SIZE_AND_HASH"
"research\icsec2026\provenance\20260830_023830\PROVENANCE_SHA256SUMS.csv","research/icsec2026/provenance/20260830_023830/scripts/analyze_flash_region.py","3131","3212","9B91CE03BA0245B8D30AB3ED876E5058FAA1D4FB25371D7528130CF0AF5F3167","CB646271C4241E23EF70430D5CBF7EA26D8CB19E57C3FC77E1C7928ED5AE27DB","SIZE_AND_HASH"
"research\icsec2026\provenance\20260830_023830\PROVENANCE_SHA256SUMS.csv","research/icsec2026/provenance/20260830_023830/scripts/collect_package_lists_utf8.py","1825","1878","7D93E485CFD6CCFB3B0205CAB8B56B08339CC27008097F91CB00484B5D4778A3","D8128918CAAD186392E9C85DC2EEF14F0E19A39E4FAE510457197586F1280E06","SIZE_AND_HASH"
"research\icsec2026\provenance\20260830_023830\PROVENANCE_SHA256SUMS.csv","research/icsec2026/provenance/20260830_023830/scripts/collect_selected_toolchain.py","2392","2458","A154CEF1A3F482D2138C36CD49603F3D84D1B6EA774657E66353FD8F5C34AD9E","5A1A68A395D580B193A8583AC68F6562AD98DF98B276F12C72017A28AF2DC161","SIZE_AND_HASH"
"research\icsec2026\provenance\20260830_023830\PROVENANCE_SHA256SUMS.csv","research/icsec2026/provenance/20260830_023830/scripts/collect_toolchain.py","5268","5403","B34A8E544469A2FB0D9F2F7A6175A93EF58005F315B68EC888FFE7E576ABA354","FE4D2C90EFA974B4683EEC122D074D2763DC5DFF92306D13C14A250E95E3F5B4","SIZE_AND_HASH"
"research\icsec2026\provenance\20260830_023830\PROVENANCE_SHA256SUMS.csv","research/icsec2026/provenance/20260830_023830/scripts/compare_binary_region.py","4882","5011","54B511C13A60F2CD23D84CBD8D21ED3F87D34830DCAB2D01844593E417D91A19","0CEC46F2C5874898FAA3F59113D4270AD7FF1ED9FABED2FDD0A86ED0F6C098E8","SIZE_AND_HASH"
"research\icsec2026\provenance\20260830_023830\PROVENANCE_SHA256SUMS.csv","research/icsec2026/provenance/20260830_023830/scripts/freeze_source_state.py","4168","4280","6A283B6FBFCEA6736D3CC8356DF5921BABA2236275FD29D11705B0652C5C16AB","0FEF198507219542FB6FA579EAB98698097FCD945A8EAF7BB336BFF71881582C","SIZE_AND_HASH"
"research\icsec2026\provenance\20260830_023830\PROVENANCE_SHA256SUMS.csv","research/icsec2026/provenance/20260830_023830/scripts/readonly_flash_capture.py","4065","4172","8CEDA5A99E52A06333CD60DD8B5B29A34853FC2F20FC1FA29A73B4F79BD4921E","52652D3CA6F7FBA43BD143462BD9A1B16ECBCADACAA03AF00FE8571EECA50453","SIZE_AND_HASH"
"research\icsec2026\provenance\20260830_023830\PROVENANCE_SHA256SUMS.csv","research/icsec2026/provenance/20260830_023830/scripts/rebuild_capture.py","3659","3752","367428780F482EF70310C714C0795387BB1C50969C2DE9B6D80595EF191C4294","61096363776291D7A0139A78146DD24CB6CDADACF2CCAFE809F72C9CEDBE253E","SIZE_AND_HASH"
"research\icsec2026\provenance\20260830_023830\PROVENANCE_SHA256SUMS.csv","research/icsec2026/provenance/20260830_023830/source_state/git_status_porcelain_v1.txt","4247","4305","76905E373257F7C46CEC707731A9112F19017E5EE0CD6D18CCFABD868F02261E","1AEB74CD1A8A5093ED85AA0450DD904CD8AEE7557BBC9AE06F6D2578F3CFE0DF","SIZE_AND_HASH"
"research\icsec2026\provenance\20260830_023830\PROVENANCE_SHA256SUMS.csv","research/icsec2026/provenance/20260830_023830/source_state/tracked_files.txt","5155","5310","108ACCECB59F4262B4FFB6BB4BD361FFE0677FE4CC09DA91F7C95049F573D094","173C70AF47A1CB8BA4BDE460B2AFC160DAE8983C757A724C05C2256BDE5B45E4","SIZE_AND_HASH"
"research\icsec2026\provenance\20260830_023830\PROVENANCE_SHA256SUMS.csv","research/icsec2026/provenance/20260830_023830/source_state/tracked_worktree.patch","4580","4728","B358575E947380405330C0743136FCBD494CBEB736D8DE4AB3200D82A536DD81","C6A8D517C3E64CED03F2720F1ADE44F568826A38333723127A799DE36B59FBCF","SIZE_AND_HASH"
"research\icsec2026\provenance\20260830_023830\PROVENANCE_SHA256SUMS.csv","research/icsec2026/provenance/20260830_023830/source_state/untracked_source_copies/demo-payload/src/HostModeCommandParser.hpp","2194","2286","8E6F973F29B5E7D6C7277CCD826D8598CB048EBFFB557F5BC61070D7E821110E","8BF23EDB3598516C51F6069F669B796DD7DABE13C20BD6595011C3AA105F4950","SIZE_AND_HASH"
"research\icsec2026\provenance\20260830_023830\PROVENANCE_SHA256SUMS.csv","research/icsec2026/provenance/20260830_023830/source_state/untracked_source_copies/demo-payload/test/test_host_mode_command/test_main.cpp","3950","4043","F4E346BEA94A124CA775E4D88184FD185DBB2A999847F65E8AD59CA138330010","81ED1DFAEE413168C49904EC3EAD8BAA7DF02893780B5CD5A6C9975EA98DEC37","SIZE_AND_HASH"
